path,label,split,hash,all_labels
../foodsg-233\Grapefruit\2DDDI9UF18CAOWALPZ3DQF28.jpg,Grapefruit,all,1a9c912c56be5eb8a64c11e4b81af6c8,"['Pomelo', 'Grapefruit']"
../foodsg-233\hokkien prawn mee\Q2XXM3DILEI3X1JNDD376ZKQ.jpg,hokkien prawn mee,all,1aa1afa836529c66dd1f1f7ecaa35803,"['hokkien prawn mee', 'Prawn Noodle']"
../foodsg-233\Prawn Noodle\WN5B70506QUVNYMV5EX41ZQM.jpg,Prawn Noodle,all,1aa1afa836529c66dd1f1f7ecaa35803,"['hokkien prawn mee', 'Prawn Noodle']"
../foodsg-233\chicken soup\OH9N44EKAHRGQA589E6JY2AF.jpg,chicken soup,all,1aae47b5a6f8f997242f710c0145d2e9,"['chicken soup', 'cream soup']"
../foodsg-233\cream soup\LXZ0VJ6I10E497RZC9H7CJSZ.jpg,cream soup,all,1aae47b5a6f8f997242f710c0145d2e9,"['chicken soup', 'cream soup']"
../foodsg-233\chin chow drink\IED18P7IGQB2GD18BUHROCUY.jpg,chin chow drink,all,1acef06afe1100660bf1adbc9ec6cbe7,"['chin chow drink', 'Bubble Milk Tea']"
../foodsg-233\Bubble Milk Tea\PT4QUIXXXXJ0FVFGG19LN833.jpg,Bubble Milk Tea,all,1acef06afe1100660bf1adbc9ec6cbe7,"['chin chow drink', 'Bubble Milk Tea']"
../foodsg-233\Duck Rice\2QDTD9LN2CKG1GAUDRHOM4QD.jpg,Duck Rice,all,1ad3d0f4176a1466f936ab42fa5d6259,"['Duck Rice', 'char siew']"
../foodsg-233\char siew\Z6R7T3PVUM244RPJLQS474EU.jpg,char siew,all,1ad3d0f4176a1466f936ab42fa5d6259,"['Duck Rice', 'char siew']"
../foodsg-233\Seafood Noodles Soup\85XIK4LAW0ZDFTLKEI5GNY86.jpg,Seafood Noodles Soup,all,1ad77416725fa517253f92a9e032a777,"['Seafood Noodles Soup', 'Bee hoon, soto']"
"../foodsg-233\Bee hoon, soto\95C0BUV1AHP9RROGNMYNJAO2.jpg","Bee hoon, soto",all,1ad77416725fa517253f92a9e032a777,"['Seafood Noodles Soup', 'Bee hoon, soto']"
../foodsg-233\whole grain bread\V1AEJQPU8XBPEHQA1WF4TDUU.jpg,whole grain bread,all,1af9f592ff76fda7a4f0ba9c571fb404,"['whole grain bread', 'whole wheat']"
../foodsg-233\whole wheat\3FZ8VH6RQAAKKBOQ9DT2BVS3.jpg,whole wheat,all,1af9f592ff76fda7a4f0ba9c571fb404,"['whole grain bread', 'whole wheat']"
../foodsg-233\drunken prawn\GRD1K2Z906H91LYU6BDOM57D.jpg,drunken prawn,all,1b0c6858a0ec3625bde921ad08cd9245,"['drunken prawn', 'fried prawn']"
../foodsg-233\fried prawn\AIQ8VV6B5KXB4062Z4B6HTUL.jpg,fried prawn,all,1b0c6858a0ec3625bde921ad08cd9245,"['drunken prawn', 'fried prawn']"
../foodsg-233\Duck Rice\393XK263YJSC3SVFUGMJ1SBY.jpg,Duck Rice,all,1b0d3285feea4bc369371bb86469cbb0,"['Duck Rice', 'char siew']"
../foodsg-233\char siew\RCZ3GG7ZFC60AJ6I8JV3VNDM.jpg,char siew,all,1b0d3285feea4bc369371bb86469cbb0,"['Duck Rice', 'char siew']"
../foodsg-233\whole grain bread\DRP7R68173VME25RPOQWUP6P.jpg,whole grain bread,all,1b6c9344d41e05eb7d538f793a9e1b78,"['whole grain bread', 'whole wheat']"
../foodsg-233\whole wheat\HRYSSLBWSBY9EI87S72R8CHQ.jpg,whole wheat,all,1b6c9344d41e05eb7d538f793a9e1b78,"['whole grain bread', 'whole wheat']"
../foodsg-233\Pomelo\Q08TSSVGXW55YNNM0BBN1I0X.jpg,Pomelo,all,1bad3333e2fe40d2998e1b47f9c6d717,"['Pomelo', 'Grapefruit']"
../foodsg-233\Grapefruit\Y914CAFINUUK44IUYZJ7XDA3.jpg,Grapefruit,all,1bad3333e2fe40d2998e1b47f9c6d717,"['Pomelo', 'Grapefruit']"
../foodsg-233\Mee soto\16T9QWMMD08RNB460CTR38EI.jpg,Mee soto,all,1bddeae2c4aec9857b282ecec60c66f1,"['Mee soto', 'Soto ayam']"
../foodsg-233\Soto ayam\LAIC3VPXXUT6A5EI3TRKRILB.jpg,Soto ayam,all,1bddeae2c4aec9857b282ecec60c66f1,"['Mee soto', 'Soto ayam']"
../foodsg-233\Prawn Noodle\O745QV09P1TI489XCHLBC42Y.jpg,Prawn Noodle,all,1be5621c537a9d9f61a3ed2c6a5c7641,"['Prawn Noodle', 'tom yum noodle soup']"
../foodsg-233\tom yum noodle soup\F5SEY2YA7QDNLWRGTTUFX0IK.jpg,tom yum noodle soup,all,1be5621c537a9d9f61a3ed2c6a5c7641,"['Prawn Noodle', 'tom yum noodle soup']"
../foodsg-233\tiramisu\7IGTMTTFHC7IX19JFMS107ET.jpg,tiramisu,all,1bf46f7c6051bb0a86bf6254ae7af26e,"['tiramisu', 'cake']"
../foodsg-233\cake\KR12H1ZP0ITCEUCBATP71W52.jpg,cake,all,1bf46f7c6051bb0a86bf6254ae7af26e,"['tiramisu', 'cake']"
../foodsg-233\Fruit juice\6UME555FCRB39DDTJQPDNK7P.jpg,Fruit juice,all,1bf64acc2998f86c27fa77a9d87a1ce4,"['Fruit juice', 'honeydew']"
../foodsg-233\honeydew\LLUW5MGAVQVTUN4TMECJ486C.jpg,honeydew,all,1bf64acc2998f86c27fa77a9d87a1ce4,"['Fruit juice', 'honeydew']"
"../foodsg-233\Bee hoon, goreng\O3O29K1G5S0P3ZZSMUZWFSNY.jpg","Bee hoon, goreng",all,1bfbb146ddd523fad238ae71121e122d,"['Bee hoon, goreng', 'bee hoon']"
../foodsg-233\bee hoon\RTWP78XE7DM1OV95ZQVG702B.jpg,bee hoon,all,1bfbb146ddd523fad238ae71121e122d,"['Bee hoon, goreng', 'bee hoon']"
../foodsg-233\mushroom soup\098LT803F5LU5RXL1RVPDVFS.jpg,mushroom soup,all,1bfd864692747b538cee3f2a9688dc72,"['mushroom soup', 'miso soup']"
../foodsg-233\miso soup\BUVQWC2WXABDLUZ5Z5WRT76S.jpg,miso soup,all,1bfd864692747b538cee3f2a9688dc72,"['mushroom soup', 'miso soup']"
"../foodsg-233\Mee siam, fried\NBIHOSKB1FSX1TID30Z0D06O.jpg","Mee siam, fried",all,1c216ed49d14649daec1981cda34aa40,"['Mee siam, fried', 'Mee siam']"
../foodsg-233\Mee siam\GAXLJKDSRBIQNOHR4PXX6L99.jpg,Mee siam,all,1c216ed49d14649daec1981cda34aa40,"['Mee siam, fried', 'Mee siam']"
../foodsg-233\Fish Ball Noodles\CZ21XYPSGUZ3Q66OCLRIBFFL.jpg,Fish Ball Noodles,all,1c51657d9dab51130cb6899d9636d8f9,"['Fish Ball Noodles', 'Wanton mee, dry']"
"../foodsg-233\Wanton mee, dry\I2YZ1NPV6CNEBMV6QEFWDQ7S.jpg","Wanton mee, dry",all,1c51657d9dab51130cb6899d9636d8f9,"['Fish Ball Noodles', 'Wanton mee, dry']"
../foodsg-233\Seafood Noodles Soup\1GZJTSCCH9RMDL5AR3HBT1I9.jpg,Seafood Noodles Soup,all,1c6edb57a01aeac8121f98ed72999f78,"['Seafood Noodles Soup', 'sliced fish soup']"
../foodsg-233\sliced fish soup\0C9SBZ9PKCSU11MS4LTKNS6G.jpg,sliced fish soup,all,1c6edb57a01aeac8121f98ed72999f78,"['Seafood Noodles Soup', 'sliced fish soup']"
../foodsg-233\tandoori chicken\K3MLCQRSGWS948DZATLKAQ0I.jpg,tandoori chicken,all,1c6fb7cd824cf0bddc996e1c97e2bb98,"['tandoori chicken', 'chicken masala']"
../foodsg-233\chicken masala\CN29X1J9332EOPFMAJZCS0VG.jpg,chicken masala,all,1c6fb7cd824cf0bddc996e1c97e2bb98,"['tandoori chicken', 'chicken masala']"
../foodsg-233\Mee soto\48VI9TG9I44RDE05502T5A3F.jpg,Mee soto,all,1c76d652f01990cccfe21ee2eb2c3b60,"['Mee soto', 'Soto ayam']"
../foodsg-233\Soto ayam\TR7PNCD992WUV39RKZUBS2BV.jpg,Soto ayam,all,1c76d652f01990cccfe21ee2eb2c3b60,"['Mee soto', 'Soto ayam']"
../foodsg-233\bee hoon\JN1S484G8UDJV3VJ5KG5549Q.jpg,bee hoon,all,1c79fc287a7bc3154ce713cc5dba2060,"['bee hoon', 'Bee hoon, goreng']"
"../foodsg-233\Bee hoon, goreng\X2J5NJF693XPIOJSRJ8RMUYH.jpg","Bee hoon, goreng",all,1c79fc287a7bc3154ce713cc5dba2060,"['bee hoon', 'Bee hoon, goreng']"
../foodsg-233\Sweets\QQKISJVG6HPT0U0CMJB84R7K.jpg,Sweets,all,1c7bf97a871288f3a8f1378ab207c17a,"['Sweets', 'lychee']"
../foodsg-233\lychee\KWQ00UKZN34W76OKKGNP28IH.jpg,lychee,all,1c7bf97a871288f3a8f1378ab207c17a,"['Sweets', 'lychee']"
../foodsg-233\char siew pau\Q7REEW80X5SSSHN37P4DUS4Y.jpg,char siew pau,all,1ca809247dc6f64c2b53b954329a02df,"['char siew pau', 'steamed buns']"
../foodsg-233\steamed buns\LGQGPH1L8XBJNG9HKL9O7XRT.jpg,steamed buns,all,1ca809247dc6f64c2b53b954329a02df,"['char siew pau', 'steamed buns']"
../foodsg-233\mixed vegetables\3TEK22SYK50MXKGKJGS5UIRS.jpg,mixed vegetables,all,1cb27d2e40c2e2b546492c7d17e7ea49,"['mixed vegetables', 'vegetable soup']"
../foodsg-233\vegetable soup\A45VSB87G75WDTED2YU8MDMA.jpg,vegetable soup,all,1cb27d2e40c2e2b546492c7d17e7ea49,"['mixed vegetables', 'vegetable soup']"
"../foodsg-233\Bee hoon, soto\XZESYVWUY8ST1PX10FCQSJ6V.jpg","Bee hoon, soto",all,1cbdaaf7985503b0a9b036366ff279bc,"['Bee hoon, soto', 'hokkien prawn mee']"
../foodsg-233\hokkien prawn mee\0ZXO651D6RHYN0L1NJ5AWC1Z.jpg,hokkien prawn mee,all,1cbdaaf7985503b0a9b036366ff279bc,"['Bee hoon, soto', 'hokkien prawn mee']"
"../foodsg-233\Rice, chicken katsu with Japanese curry\DEL9I7HOKWXJ0V7LF0DOBNNE.jpg","Rice, chicken katsu with Japanese curry",all,1d0f75b15afd5aa49217bbccdb4ce5a1,"['Rice, chicken katsu with Japanese curry', 'Katsudon']"
../foodsg-233\Katsudon\C4B2QCDRLOEBBXXQ8SDWHMC4.jpg,Katsudon,all,1d0f75b15afd5aa49217bbccdb4ce5a1,"['Rice, chicken katsu with Japanese curry', 'Katsudon']"
../foodsg-233\whole wheat\E2N99DRICIFHK7420BTFGAGA.jpg,whole wheat,all,1d4cde2e5bbb8461f3fbeb3ff07a3eff,"['whole wheat', 'whole grain bread']"
../foodsg-233\whole grain bread\TCUYAUKAHWFMCMMCYZF161SQ.jpg,whole grain bread,all,1d4cde2e5bbb8461f3fbeb3ff07a3eff,"['whole wheat', 'whole grain bread']"
../foodsg-233\Mee siam\FLS1ZINCI0MUU9WEP5C932DA.jpg,Mee siam,all,1dd2e12aa25db15adaaee7d42f866aff,"['Mee siam', 'Mee siam, fried']"
"../foodsg-233\Mee siam, fried\MC3TGKGUMRD7PEDAEQGF2NU4.jpg","Mee siam, fried",all,1dd2e12aa25db15adaaee7d42f866aff,"['Mee siam', 'Mee siam, fried']"
../foodsg-233\Prawn Noodle\FBA8Q6FH1MALZXDKX0QSY8NS.jpg,Prawn Noodle,all,1e2716ab38f5b2bd17fee81365a6dfd3,"['Prawn Noodle', 'Mee soto']"
../foodsg-233\Mee soto\0AWOLE0CF4DP0EHO7YK589ZC.jpg,Mee soto,all,1e2716ab38f5b2bd17fee81365a6dfd3,"['Prawn Noodle', 'Mee soto']"
../foodsg-233\whole grain bread\WTUI4JDHH0ORVFY135NIPZQB.jpg,whole grain bread,all,1e4b697e7d6e68a6dd8434c700b1cd2d,"['whole grain bread', 'whole wheat']"
../foodsg-233\whole wheat\A0T6VI4HEPPLF2H3926C4UX6.jpg,whole wheat,all,1e4b697e7d6e68a6dd8434c700b1cd2d,"['whole grain bread', 'whole wheat']"
../foodsg-233\Mee siam\NIQCQMSI5S9NZ2MYHCVXPT24.jpg,Mee siam,all,1e512a75f0f1dd698daffa9f5af634e1,"['Mee siam', 'bee hoon', 'Bee hoon, goreng']"
../foodsg-233\bee hoon\MIO4P6SO2WXYS9ETHEEAOK6V.jpg,bee hoon,all,1e512a75f0f1dd698daffa9f5af634e1,"['Mee siam', 'bee hoon', 'Bee hoon, goreng']"
"../foodsg-233\Bee hoon, goreng\BSYJ6JX4KYOO0ZVIO3SHBO1Z.jpg","Bee hoon, goreng",all,1e512a75f0f1dd698daffa9f5af634e1,"['Mee siam', 'bee hoon', 'Bee hoon, goreng']"
../foodsg-233\Soto ayam\CUURVMENLPA11JPFIDKQPLI2.jpg,Soto ayam,all,1e6c330785beaffc942c77dcee93fea2,"['Soto ayam', 'Mee soto']"
../foodsg-233\Mee soto\JQYNGQJ3NIOH5CS8ULDYILRT.jpg,Mee soto,all,1e6c330785beaffc942c77dcee93fea2,"['Soto ayam', 'Mee soto']"
../foodsg-233\hokkien prawn mee\8KP665CQ0WVJJ8X1YD0RVPQ5.jpg,hokkien prawn mee,all,1ea41c91e28ec8019dd85eeef604a6c0,"['hokkien prawn mee', 'Fried Noodles']"
../foodsg-233\Fried Noodles\YD5S8ELATFLG5B8R0F85H5DZ.jpg,Fried Noodles,all,1ea41c91e28ec8019dd85eeef604a6c0,"['hokkien prawn mee', 'Fried Noodles']"
../foodsg-233\bee hoon\O946AHJJWKARMWZJWG69Y2CG.jpg,bee hoon,all,1ed29470ffaf85ca51e23b4ffc6fb86c,"['bee hoon', 'Bee hoon, goreng']"
"../foodsg-233\Bee hoon, goreng\GZ8R0KYK1MBB4P6FS9TMX73V.jpg","Bee hoon, goreng",all,1ed29470ffaf85ca51e23b4ffc6fb86c,"['bee hoon', 'Bee hoon, goreng']"
../foodsg-233\Mee rebus\YVEPSQQ5W5AWR0A8PYKIROU3.jpg,Mee rebus,all,1f0977cae75c24e2a222b6e22ed920c6,"['Mee rebus', 'Mee soto']"
../foodsg-233\Mee soto\RH8VNYZKSCK28YBW44ZFKLJQ.jpg,Mee soto,all,1f0977cae75c24e2a222b6e22ed920c6,"['Mee rebus', 'Mee soto']"
../foodsg-233\Mee kuah\IB80PIZAATEX0WHD0YV2EXHR.jpg,Mee kuah,all,1f25174a45e467d37a070145ad52e507,"['Mee kuah', 'Bee hoon, soto']"
"../foodsg-233\Bee hoon, soto\3VDZWY06D7E205RJNH15EACW.jpg","Bee hoon, soto",all,1f25174a45e467d37a070145ad52e507,"['Mee kuah', 'Bee hoon, soto']"
../foodsg-233\steamed buns\BU6UM9GZM7WNUSSBB60KAHSX.jpg,steamed buns,all,1f4842adfecfdb2d8a80b28f15777cf2,"['steamed buns', 'char siew pau']"
../foodsg-233\char siew pau\5GQ4SLXU01QZ4ST9YYHMCIA7.jpg,char siew pau,all,1f4842adfecfdb2d8a80b28f15777cf2,"['steamed buns', 'char siew pau']"
../foodsg-233\satay bee hoon\H45G60XFGV5Y0T5F4SEWY7EU.jpg,satay bee hoon,all,1f4e68db5c0e74850fe2b1cf545d03bd,"['satay bee hoon', 'Bee hoon, soto']"
"../foodsg-233\Bee hoon, soto\99I8KAB8QAMKPTMNPNN9XBOK.jpg","Bee hoon, soto",all,1f4e68db5c0e74850fe2b1cf545d03bd,"['satay bee hoon', 'Bee hoon, soto']"
../foodsg-233\Claypot Rice\NMEJ2UKGIWLL7M0MUYM8VB4T.jpg,Claypot Rice,all,1f6b36b224c2e24a220c6dad3a9d2c62,"['Claypot Rice', 'Rice, with dakgalbi']"
"../foodsg-233\Rice, with dakgalbi\M6YGGZK2BH6WS7R3V6TS2VYE.jpg","Rice, with dakgalbi",all,1f6b36b224c2e24a220c6dad3a9d2c62,"['Claypot Rice', 'Rice, with dakgalbi']"
../foodsg-233\Mee rebus\COVHHWCNAC24W9551TJV3S3T.jpg,Mee rebus,all,1f82459e8661332280a12035f63d7283,"['Mee rebus', 'Mee bandung']"
../foodsg-233\Mee bandung\DINWVOEBIMSC1DKCYGT0JQEI.jpg,Mee bandung,all,1f82459e8661332280a12035f63d7283,"['Mee rebus', 'Mee bandung']"
../foodsg-233\char siew pau\XQ8IW7WKW5TZYP600TTNMMF6.jpg,char siew pau,all,1f88e1c63d8f917e1c8b1e67943c9983,"['char siew pau', 'steamed buns']"
../foodsg-233\steamed buns\1CJ2UT799EFA97XX5OYLD340.jpg,steamed buns,all,1f88e1c63d8f917e1c8b1e67943c9983,"['char siew pau', 'steamed buns']"
../foodsg-233\steamed buns\BT6G09VH1EOHML8CFADA27AH.jpg,steamed buns,all,1f91a1824aaf8bf758c6c30b7dacc419,"['steamed buns', 'char siew pau']"
../foodsg-233\char siew pau\KO1RGH1DUZ608L72HXEIEZV5.jpg,char siew pau,all,1f91a1824aaf8bf758c6c30b7dacc419,"['steamed buns', 'char siew pau']"
../foodsg-233\Lor mee\TUCRZULRP247Z2EQRPFWMH2X.jpg,Lor mee,all,1f9d971f57d9e12d9b7c2a9f5b3e7955,"['Lor mee', 'Dumpling noodle soup']"
../foodsg-233\Dumpling noodle soup\4AL4VUFSUKUFYK8I1W3R5QAC.jpg,Dumpling noodle soup,all,1f9d971f57d9e12d9b7c2a9f5b3e7955,"['Lor mee', 'Dumpling noodle soup']"
../foodsg-233\sliced fish soup\KJAXFUO72NQNXPVSDLT3VOSP.jpg,sliced fish soup,all,1fe2fe1e783a4132cd53cf9b2bc45f98,"['sliced fish soup', 'Seafood Noodles Soup']"
../foodsg-233\Seafood Noodles Soup\LGFQ0GTUT0FILMJS2XHM3FVY.jpg,Seafood Noodles Soup,all,1fe2fe1e783a4132cd53cf9b2bc45f98,"['sliced fish soup', 'Seafood Noodles Soup']"
../foodsg-233\Prawn Noodle\9W5W62ZIX2ZUMZG0I2N00DH4.jpg,Prawn Noodle,all,1ff5056e299ed21f66d309bebf54a4c2,"['Prawn Noodle', 'tom yum noodle soup']"
../foodsg-233\tom yum noodle soup\2URWQDBEPVQWF0E9LW90S7AD.jpg,tom yum noodle soup,all,1ff5056e299ed21f66d309bebf54a4c2,"['Prawn Noodle', 'tom yum noodle soup']"
"../foodsg-233\Mee siam, fried\FHHBFGS8ISBBK7EMIJIOK3CI.jpg","Mee siam, fried",all,2031fb8c85f8f5e894308e3e37e9be23,"['Mee siam, fried', 'Bee hoon, goreng', 'bee hoon', 'Nasi pattaya']"
"../foodsg-233\Bee hoon, goreng\18A2YL9O16J5JG12HK8UENXT.jpg","Bee hoon, goreng",all,2031fb8c85f8f5e894308e3e37e9be23,"['Mee siam, fried', 'Bee hoon, goreng', 'bee hoon', 'Nasi pattaya']"
../foodsg-233\bee hoon\ITZBG1Q4JZOWS6XT1IC9SBF4.jpg,bee hoon,all,2031fb8c85f8f5e894308e3e37e9be23,"['Mee siam, fried', 'Bee hoon, goreng', 'bee hoon', 'Nasi pattaya']"
../foodsg-233\Nasi pattaya\L2H12P97OQWQR9TW8ZNQ0RW8.jpg,Nasi pattaya,all,2031fb8c85f8f5e894308e3e37e9be23,"['Mee siam, fried', 'Bee hoon, goreng', 'bee hoon', 'Nasi pattaya']"
"../foodsg-233\Mee siam, fried\FF4H5REB78GH0X3URY0PKLLZ.jpg","Mee siam, fried",all,2069a754bc1e96bc9eec00893fcebecf,"['Mee siam, fried', 'Hor Fun']"
../foodsg-233\Hor Fun\KD3FH5Z2V18OLD0ZEM3G5PAJ.jpg,Hor Fun,all,2069a754bc1e96bc9eec00893fcebecf,"['Mee siam, fried', 'Hor Fun']"
../foodsg-233\mixed grills\ZWSW6IZF6WLC3SCJBHIZT8J1.jpg,mixed grills,all,2093055a8b4e5ef3956d9bbc89946a39,"['mixed grills', 'mixed vegetables']"
../foodsg-233\mixed vegetables\VWH4BBSJF0JDXFY42WWTI0ZL.jpg,mixed vegetables,all,2093055a8b4e5ef3956d9bbc89946a39,"['mixed grills', 'mixed vegetables']"
../foodsg-233\Mee rebus\RNRPUK70T72G68N4IRHMQN2W.jpg,Mee rebus,all,20e32441ad5847daa5751580f5a846b3,"['Mee rebus', 'Mee bandung']"
../foodsg-233\Mee bandung\84UAPSBCAWGA96O47J4H0837.jpg,Mee bandung,all,20e32441ad5847daa5751580f5a846b3,"['Mee rebus', 'Mee bandung']"
../foodsg-233\Lontong with sayur lodeh\NWSYTR85RXM4JYK0ZQDISVPN.jpg,Lontong with sayur lodeh,all,20fd6c3354f81d4728f2f86ac2385ed1,"['Lontong with sayur lodeh', 'lontong']"
../foodsg-233\lontong\JMC0RV0OOXOU1111PQCUBF5V.jpg,lontong,all,20fd6c3354f81d4728f2f86ac2385ed1,"['Lontong with sayur lodeh', 'lontong']"
"../foodsg-233\Miso ramen, with fishcake\EJE2ZK61F2RYY7UXLMV4EPQM.jpg","Miso ramen, with fishcake",all,20ff00891f9cc4ebe2787d89b0099cf1,"['Miso ramen, with fishcake', 'miso soup']"
../foodsg-233\miso soup\ST2AF3CS9AHNI8MD2FP8LUV6.jpg,miso soup,all,20ff00891f9cc4ebe2787d89b0099cf1,"['Miso ramen, with fishcake', 'miso soup']"
../foodsg-233\Soto ayam\N4LQ6L98MX1FIVTPPD10P9NX.jpg,Soto ayam,all,2166cc3e9e295607bfab3fdaa0151c78,"['Soto ayam', 'Mee soto']"
../foodsg-233\Mee soto\Z9VHDZOV809TUW8U78ZWKYW1.jpg,Mee soto,all,2166cc3e9e295607bfab3fdaa0151c78,"['Soto ayam', 'Mee soto']"
../foodsg-233\Mee soto\7SACO4543EOCNLKF8A9APOIU.jpg,Mee soto,all,217e490ea8540e1eba86cfd37e399975,"['Mee soto', 'Soto ayam']"
../foodsg-233\Soto ayam\50N5D56S60S7DUFK8BA65TIU.jpg,Soto ayam,all,217e490ea8540e1eba86cfd37e399975,"['Mee soto', 'Soto ayam']"
../foodsg-233\Mee soto\98FIQ14H7NIMD36RRQNZ8AGK.jpg,Mee soto,all,2182fac632186daa726e7c5013cb34d9,"['Mee soto', 'Soto ayam']"
../foodsg-233\Soto ayam\VEKJFXUUDA2EI69J407P2MRV.jpg,Soto ayam,all,2182fac632186daa726e7c5013cb34d9,"['Mee soto', 'Soto ayam']"
../foodsg-233\Lor mee\103UCNJSMWQ7GWQIEH5TM8LE.jpg,Lor mee,all,21b942e1d9389659f9da7776ac141aa5,"['Lor mee', 'Bee hoon, soto']"
"../foodsg-233\Bee hoon, soto\9SXDJW8NT8O9ROYDR8W8UI5B.jpg","Bee hoon, soto",all,21b942e1d9389659f9da7776ac141aa5,"['Lor mee', 'Bee hoon, soto']"
"../foodsg-233\Bee hoon, goreng\WRYOTR9PQF17YB0P29Y3EQJR.jpg","Bee hoon, goreng",all,21c633b29fb6fa2da529788e4ffbecd9,"['Bee hoon, goreng', 'Fried Noodles']"
../foodsg-233\Fried Noodles\QYPK5MAI5HL4I1G4Q8RHQWTH.jpg,Fried Noodles,all,21c633b29fb6fa2da529788e4ffbecd9,"['Bee hoon, goreng', 'Fried Noodles']"
../foodsg-233\bee hoon\H71IC5AL8EO08VKST5ZJ0RLE.jpg,bee hoon,all,21dbe16bfe1782560134c56f099ab7a0,"['bee hoon', 'Bee hoon, goreng']"
"../foodsg-233\Bee hoon, goreng\I1VHZUU9QYGKPWA4UXPW1HWG.jpg","Bee hoon, goreng",all,21dbe16bfe1782560134c56f099ab7a0,"['bee hoon', 'Bee hoon, goreng']"
../foodsg-233\xiao long bao\MO4O6RX51TVMPPFXGT3XHT00.jpg,xiao long bao,all,22218adcbaec4fcb69444b918a538039,"['xiao long bao', 'char siew pau']"
../foodsg-233\char siew pau\BSFR2HC31APHO1AHVPKXQSO4.jpg,char siew pau,all,22218adcbaec4fcb69444b918a538039,"['xiao long bao', 'char siew pau']"
../foodsg-233\Mee rebus\9UZN83CV97RRQ1S6DXX4V15C.jpg,Mee rebus,all,22450df779c7f26b6f2d8f7d01db6eb5,"['Mee rebus', 'Mee siam']"
../foodsg-233\Mee siam\V9QAP97WWMXKXVM5I0VULSTN.jpg,Mee siam,all,22450df779c7f26b6f2d8f7d01db6eb5,"['Mee rebus', 'Mee siam']"
../foodsg-233\whole wheat\TN0VEULJ8PZ9CQ9CO156FWO9.jpg,whole wheat,all,224941921f8dade3d5be849d407f466b,"['whole wheat', 'whole grain bread']"
../foodsg-233\whole grain bread\O8AVG7Y67G95S31YH4T35KC8.jpg,whole grain bread,all,224941921f8dade3d5be849d407f466b,"['whole wheat', 'whole grain bread']"
../foodsg-233\steamed grouper\BVW2HTY3W7UU1VW19S38W7JZ.jpg,steamed grouper,all,2255d51128dad6cfdbe8c074f52bb74d,"['steamed grouper', 'Seafood Noodles Soup']"
../foodsg-233\Seafood Noodles Soup\P87FSDJE5AGO7CJG6F2QGYBI.jpg,Seafood Noodles Soup,all,2255d51128dad6cfdbe8c074f52bb74d,"['steamed grouper', 'Seafood Noodles Soup']"
../foodsg-233\Mee rebus\F6PZSA4J4O9IONQN14SECKHZ.jpg,Mee rebus,all,2272083f294ce47446d1c0c211c405cf,"['Mee rebus', 'Mee siam']"
../foodsg-233\Mee siam\C1E1XDIT3DF36DTROA6I5K7I.jpg,Mee siam,all,2272083f294ce47446d1c0c211c405cf,"['Mee rebus', 'Mee siam']"
../foodsg-233\Lontong with sayur lodeh\AQ9RGH40N3EPH3324OK6JKU8.jpg,Lontong with sayur lodeh,all,228965b8f433e9baa1a6d538d444a6b1,"['Lontong with sayur lodeh', 'lontong']"
../foodsg-233\lontong\8JUF74DSIWQFUSLNLM3MEM7L.jpg,lontong,all,228965b8f433e9baa1a6d538d444a6b1,"['Lontong with sayur lodeh', 'lontong']"
../foodsg-233\Bubble Milk Tea\DXX33TRSRJJBW04VYICR22WJ.jpg,Bubble Milk Tea,all,228ba4daaa3fae76055268f0b50c3518,"['Bubble Milk Tea', 'milk']"
../foodsg-233\milk\R3M50BKFWFHGO1873P7E3I8Q.jpg,milk,all,228ba4daaa3fae76055268f0b50c3518,"['Bubble Milk Tea', 'milk']"
../foodsg-233\fish head curry\IX5CZZ3H8HWXYYWN8RFYSOIE.jpg,fish head curry,all,22a25a8d85e031e373e9d7d48761a051,"['fish head curry', 'assam pedas']"
../foodsg-233\assam pedas\7ZS5QB5SATDCUCFL8YW9QUMN.jpg,assam pedas,all,22a25a8d85e031e373e9d7d48761a051,"['fish head curry', 'assam pedas']"
../foodsg-233\fried chicken\DAUTFWPIJ3JGN5NZ2S9FSVPK.jpg,fried chicken,all,22d347e63f12330e591265d5f26a6324,"['fried chicken', 'Rice, with dakgalbi']"
"../foodsg-233\Rice, with dakgalbi\5VF0U9JSTD7Y47LPRHVWX5DK.jpg","Rice, with dakgalbi",all,22d347e63f12330e591265d5f26a6324,"['fried chicken', 'Rice, with dakgalbi']"
"../foodsg-233\Bee hoon, goreng\42D5X0G2RALEJI05AF3WTMWJ.jpg","Bee hoon, goreng",all,2319dc018d8aced991fa5e0761fa2898,"['Bee hoon, goreng', 'bee hoon']"
../foodsg-233\bee hoon\4I5YY1G40YWU0PGKLP1SG88J.jpg,bee hoon,all,2319dc018d8aced991fa5e0761fa2898,"['Bee hoon, goreng', 'bee hoon']"
"../foodsg-233\Bee hoon, goreng\NP1DD9GF1LKIY2SJJCA1X30D.jpg","Bee hoon, goreng",all,234f1de2c38ae9bc77051be170d1eff1,"['Bee hoon, goreng', 'bee hoon']"
../foodsg-233\bee hoon\5TORG7228BOWYDNZIMPQP8NH.jpg,bee hoon,all,234f1de2c38ae9bc77051be170d1eff1,"['Bee hoon, goreng', 'bee hoon']"
