path,label,split,flag_type,priority
../foodsg-233\chai tow kuay\TF75C7H3BE52ANETTPB96GFV.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\TG0KWJBV2452NJ6ICWKVAV1E.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\TNQC3GZJ5EVBXJ9IV0NZD69I.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\UN0OCSDEUMSTD6UO8X2U05KN.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\UWWO0L2S1DKFF1B2JCT1N1ZY.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\V10LHMKSS9FI496MQEE4SLWH.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\VNNLP2WFNNRNG6X02R10H11E.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\W37J1QM0KHLDN5VMY9ELRM9Z.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\WNJTYO46ITBSD51B86U3NQSM.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\WQD7CPMCU6WGXK1EHKG42D2D.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\WT5FJRY5TO0ESDKFQ5OOVVAP.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\XW0FO2S3UVK9RN0Z8WM44TOW.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\Y164AWN5HM95PPD3U7UIARU8.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\Y3TN8BTQ5B3GNNYCIF5B9FM9.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\YE6JWJDH81ZWEVF2YOUT6LNM.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\YFA9HB7BTGGYPXERYBI9Q815.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\YP0WSGM057MMLYEHD99Y82JB.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\Z8KH4UP002VG7RTERHYWBYJK.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\ZHTYMUL75NVXZBY34502SXJA.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\ZQCY5JL350EWYQANEEC5BHW6.jpg,chai tow kuay,all,finetuned_model,HIGH
../foodsg-233\chai tow kuay\ZUSKENN3M21VKWSOA6KPYA78.jpg,chai tow kuay,all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\0J8L81TOW7PCESY8LPCB0DRI.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\1INV5JGEZCHLZVDPM8H36O76.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\1J23LH3Q6KMATB8EZHDIOBF2.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\1SDYFHDTFOZ4RPYYNHYJVDJZ.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\270Y173K9QV3U70CE2VXCQCD.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\2CLZPZ9W7MUTLV4GQOUHREWF.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\2JHL6QRBJ6TNIKS50QAB1FIY.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\3A5H1H13G76RXBRBKBF2UVO5.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\3G9U9X6FV8H1G7A7YNGAQ1KP.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\3HQV6E0AQDCF5OHGAV44FRA6.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\44YU50R65SNJ6VLKF69L5T83.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\4Q0KHKZPK54DGKRIZE3M7V92.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\52C6U23FROAW377197WG7KDI.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\5DVGE587Z4ITZBT4SZ4PZT1Y.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\5LE9PLF1EZ9YIK8XSXMWI5XQ.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\5ZPHPNLYOSYJLO0EMB4BA44E.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\63R3SH985UKKZ4P1Q1Y4D45E.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\6BH8N6HVBDMQC5SMS8RRZJLN.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\6GVHULP8C8CW0DS20AESA54U.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\6IMMKY76S09XW63PEY5SFEOC.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\7I3LBJC81C2UT1LKQ7Q7QNNX.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\883ZOU9I3GRE84EC3HJSME7E.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\8LYQ27TSGE9XEV6AXYN7KCRY.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\8PV5G2YBCI8PLH26JE8V17UQ.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\8TZJ1SLN1JKEX2NYHGF93FRL.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\9A4QCIA5RTUEOYQWQEHE79KB.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\9C2ORZ49315R3AIZBIO8YS9P.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\9ESABR6XVPHY2BLO0Y97UXNO.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\9QPID3LD6EOMD9BJJWSNZSZ4.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\A5L5EQGBI0OAWRNF8O5W3OOH.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\A5MM6QOPK83WXF4KAPN9OV8D.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\BLYTCUW3H44V20OFXX0MECOP.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\BT1VQF014MBFPIJ1N3UKVRB2.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\C7EE3AD1TPEG22LYSG9X9M5R.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\CHHA4XFHITYXAENLKBX8CC2V.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\CUD28D6VH7BW7CH35F0CSRXU.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\D9JJ4IOIQF3J8T2KU9GV8TOA.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\DFIOPDCSHJ5NPS7A8EZ8APVB.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\DM2XQQALRDC3X30AGDEIU9PP.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\DWKFIVF6WS06K93HCBG8FON5.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\EBVF5MI8XZG3OCC81RMX85BN.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\EIG2YDWT88CCZKS5MBAW7DK5.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\EY66OC0IBX4RYQ6HJP5OVS6N.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\F0EJPQYPTDLMBCEEJVK2AN79.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\FCUFSZ57QO23PCQKFM8G0T0B.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\FPFKECXSH54AWUKYGMIZU2QN.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\G3223WRJ6GPIZJHA5RR7S9ZE.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\G6ODZNY8CMJUM03F0NIQ1ZGD.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\GIGG0QJMX2OJS6LS8K3G2QTZ.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\GL8OU2V9H8FDREQ53X8XGDT6.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\HBKEVTW1EHPSGUDVQ7GL7URW.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\HJEAKX6JUCAUDK75FBJKRF5Z.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\HRF86TIVYFW5791YJHPEXZ2C.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\I3KYC4MP8XG3G6GYJCTFARLD.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\IHTR472EOQ42I1RGQ0DQY62P.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\JXDFGGK8NGNVV5U4BZWIAFB9.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\JXLJ912Q397QBXF3ZN8CVCQ4.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\JXNVEHONTZM4JS3FY3GFDMJG.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\K05AP0RLLJL4FD745XPSGXH9.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\KUKOCJS195IQ8B5IT72JE2N6.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\L3HI82P2F0N7ANSDY1KLJTT5.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\LUIUWBVC7BZE84ZFMHAY8FRX.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\LUY1IINCW7179EPBHO16RWTZ.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\M3U4EYBFJ8R6OHCJ3YYXO3BD.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\MIQT0RF158DP3DGMSBKYPQ65.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\MZ23XPOGX3TY0VDRXEY0UK6E.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\NEL0ZVUBYR3F3L3TOSRVEEZL.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\P9M833GOUCULWP2YVPVF0HQE.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\PIRYNLZ81JP99VVJ96VMXKMZ.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\PV0S5V4WJRJ0O7W5Z58RXR7U.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\QH15MGVLRTDQES0JUGYP05BM.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\QMNYZIHWYHNO27HFXMZ53ENI.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\QMOQYX6P1IN2R4ERSIT0V1NH.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\QYPSPRBTHA3Q83BUX57DTW6O.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\QZFEIPR7LMMKTOXVW2UAS3U0.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\T0KE4TRSWGZ49M0KJC7OTWOB.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\T43LECPXMY8HTYMWHBPJU6SD.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\TKCWDVFZ3KSC63FE9T70RWO8.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\TUGT8IP1MKT18Y2HWA4JCIVF.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\TYX0N20U1UKM35G17A8OJ7U2.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\UUEQ44KEJ2FRLENIDLST02BR.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\V9K1GX5QY8ATKTVN0D28F7TR.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\VF53LJF7MP87PHH2T9GF4GMV.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\VKA2V77PF4CD5QLLDMTKLZ5M.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\VR0247SR0JTWZ532INL9H71M.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\VUC9NXYMZ1YN6GCDST53X59A.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\VZ8BFS0S6CC1VUQNF7NZSL5P.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\W04HZN39UF2HIORDH8I98XF3.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\WJOIZRX6PUZZTMBZST0W4IWD.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\WWPWKL49R3RDK82GC7T5BPZM.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\XP3VZQ0YWD0L2A5SSOV333DH.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\XTOIDBIQP3XV33W4AMK6TCDL.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\Y232JJ3HLKCO2H99L2L99RX9.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\YQER5FY6QATT7AHSL4W8KKXH.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\Z679XJWPTTRTEPNJBC7NAS2P.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
"../foodsg-233\Chap chye, Nonya\ZYV0OUYDM4UWL01NMOMX5MR4.jpg","Chap chye, Nonya",all,finetuned_model,HIGH
../foodsg-233\char siew\0CI3NW12Y3SQ2JHQX17JF6JD.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\0GFBUI5AR5V0XD3OJ5VPMFFC.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\0LR3ORMSVYI65WK7O8ZVUG4U.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\0MUHTEMSA314JBE8EHHXRMO1.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\0NVMPF2XZFFFMQ80FT0EN5M2.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\18I8Y6M1SHNCYWMCSZLL2S3F.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\18VLLK4WOFE2LCHP8BMBU189.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\198HVEGR8S4K6TMHM20ONDNU.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\1B1EWSUR6J4D6MNQJ690ABNE.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\1B89XDWSQXGE6JLL5RDI57J2.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\1I3Z6QO4PLRO70YH671GUHU8.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\1JKG6LWECSJM3YXCF08EEI63.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\1K2FCTQN143T0QJVTM3J9VR2.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\1LEYX43ZU8UX24KS7VSHX25J.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\1P6WQ28MWVIHFR6U6ZYLBV0C.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\1V82GW7FRHLDSN5WHMCEL58K.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\22OP4M6D4E9IUC1BCPD34THE.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\24KLQL0MWBEJGLD35HJR18XF.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\2545ZSI09QDLUWREP83E5F26.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\2HVQT9SJ5EYC4KVRO9EUX5LO.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\2J7BK17UA7V6JJFXSL6EFU2X.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\2JLDCCD8R3ZUGEJMEVA8OZJ5.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\2Q2HO6KK2L8Q79U0IYUSP691.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\2W52NO58VJJ9BY87W1IUJ8NN.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\402SURPFTFBI6MW9BRCJ2S59.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\48H02BQ9S5HZPW0TJPAMJTD3.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\4IU5OYZYYBYFJGG3LY3M6TVB.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\4RVW6PTM7TUA7IW2EPR2WA0F.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\4SUM8Z1YC26YO3RMYMMDUPPD.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\537ZAWOHPILHT53CN2DWSFGD.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\5F5AMDXPQTRDQM383MMDLM0R.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\5GWD1H1SWLUBEMLVU1WNVS58.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\5K8IDK2Y6WB98HJMF7GYRU1R.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\5NUMPTVKIQD73KG0COXH38TT.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\5XF1SDA2S3SN3AKF0M5Q6TDZ.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\627V7IYMV35TZCMN80JWYEXU.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\6A6NOWEB2PX2OTE4KD37GICU.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\6EB638GYREV0TX8LJD0K1SLS.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\6FXYXXYQMJMN7R0IKN2ZQYIW.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\7GYQVMLTWVPIVR52V57UPZDU.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\7TET8PNFUU5TEFLK3TCED0WI.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\7VYW4FGS99X2F3CH7WUPBH69.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\7ZCRV8GM4W7JIKEODC4B8AL5.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\8370IKIJJ8LFTBQJ1EIM2Q0Y.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\86DDS8V986OM3ZJJAJA715XN.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\87JJ5S9XVXNXT1YN8R2SL3NS.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\8DAXZ2CH0O5YV3HTWH7VUWT8.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\8K03MZG97BMODX21P5W7F4SA.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\8KVQZHFDD24SQNFP4PSU3A1R.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\8YXR5ZNX4AGR7XRFACZ25666.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\8ZC08LCZ2EVRSS7HL8Z1MQR4.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\9C2KWMVKU2YK6HQZZ2N9BN24.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\9WZ4NOKPFCJMWZGJN03QDZ3G.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\ANMY51H9YG7QWIWSC09BJ3KI.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\AUWWUBLTWB4XCZAWLZO0H5BT.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\BNVG6EOTK8LA4UTL4Q3F10RP.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\BOV76W3X7KXLJNIC2IMQ2MPH.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\BZN325WHUT6KDT3BTT5G38ZA.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\C0G7XE7Q132RF3H43XN4S83D.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\C4OEMIPAQBVFSBZXJHS79070.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\C896BOWY2XUWXRI9MSLQ2O5A.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\CCSUNXNLZFLHP5DL6PBG4U23.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\CHJBXDZ20OAMTT2AJTD6ZG7I.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\CJXQZ2JC8ZNN9ARDDPPBYATX.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\CL2WGWXU0OMOGDFXIE08HD6K.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\CND43TXYIH2XSP8B8O06P2Z8.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\CRQAPEF394TC2PTOJVFCAGE7.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\CRVDHE9XZ4R1D72701G5SPT9.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\CVV59491M92008VZVEJ10L1K.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\CZUWJGZ2XN2UPB8OZ0VKPRS8.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\D69UR6DX3IMDZH4NOJ3RFCR3.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\DE2Y4M39XQA4TZY3XGHD2Y18.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\DUM86IMN9AGC7ZJUKNWPIL67.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\DZ46SJ6X24PRNGORHI1WBQOT.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\E19X32L2BYX2MO4KVTQY3DYH.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\E3B3TUB3THJDO1S343O9ME35.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\E7FGHJEYQ2MM9RS2ZQFMF7E4.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\E81534170XWHHCKUJ58VGAJR.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EGQKXJ6PTM2L4ZI08WFX7EV3.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EIX1NAA49QZLDI3GFLRUPISV.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EM0LYETBLQ1GBB3YEHTWWHWO.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EMSHMF76562DK4Z3I7U6DB9P.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EOIGUSRRYV76D04Z3RMJ2SWJ.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EOXJT8UQ8TX3VA9XZEZ3PSRK.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\ER0IKSJLSP6UI03B7BCRXFPG.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EROJ1MI26E76CA8395WW87DV.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\ERR8GEY5YEOSAY2FIHHXR6RK.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\ESGZYSXXU3WNXEDPVJQW07RA.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EUESDXPLOX9SOKFBYIAHCOIM.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EW0RQUZ80VM0BF4DQ3VHR07Q.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\EYXFH1GH6MLBVE3Y886P22V8.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\F19O165M4LBVAPIC7DUD5OQR.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\F2EQ74F70LK1L8NNVGEHE5DH.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\F45GWV1A7FKYRQ1ZSKNW6IPP.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\F64ZTBCEXK0AQX53ZCXGBN70.jpg,char siew,all,finetuned_model,HIGH
../foodsg-233\char siew\FC703U2BB4C7LSC6G9T3IX5S.jpg,char siew,all,finetuned_model,HIGH
